Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Wuhan/IVDC-HB-01/2019	Hubei	Hubei	EPI_ISL_402119	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al A (https://dx.doi.org/10.1056/NEJMoa2001017)
Sichuan/SC-MY-060/2020	Sichuan	Sichuan	EPI_ISL_451326	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC2-044/2020	Sichuan	Sichuan	EPI_ISL_451364	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-MY-057/2020	Sichuan	Sichuan	EPI_ISL_451323	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-268/2020	Hubei	Hubei	EPI_ISL_455003	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-277/2020	Hubei	Hubei	EPI_ISL_455411	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-278/2020	Hubei	Hubei	EPI_ISL_455010	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-280/2020	Hubei	Hubei	EPI_ISL_455012	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-265/2020	Hubei	Hubei	EPI_ISL_455000	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-282/2020	Hubei	Hubei	EPI_ISL_455013	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-269/2020	Hubei	Hubei	EPI_ISL_455004	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-271/2020	Hubei	Hubei	EPI_ISL_455006	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-267/2020	Hubei	Hubei	EPI_ISL_455002	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC2-038/2020	Sichuan	Sichuan	EPI_ISL_451358	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-NJ-092/2020	Sichuan	Sichuan	EPI_ISL_451341	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM-103/2020	Hubei	Hubei	EPI_ISL_455400	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM-112/2020	Hubei	Hubei	EPI_ISL_455405	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-MY-058/2020	Sichuan	Sichuan	EPI_ISL_451324	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH1-002/2020	Sichuan	Sichuan	EPI_ISL_451375	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC2-047/2020	Sichuan	Sichuan	EPI_ISL_451367	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM2-273/2020	Hubei	Hubei	EPI_ISL_455409	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM-106/2020	Hubei	Hubei	EPI_ISL_455402	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
UnitedArabEmirates/L4280/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435134	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Wuhan/HB-WH5-234/2020	Hubei	Hubei	EPI_ISL_455393	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Shanghai/SH0053/2020	Shanghai	Shanghai	EPI_ISL_416361	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Wuhan/HB-WH2-149/2020	Hubei	Hubei	EPI_ISL_454921	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Japan/KY-V-029/2020	Kyoto	Kyoto	EPI_ISL_408669	Dept. of Virology III, National Institute of Infectious Diseases	Asia	Asia	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A
Guangdong/20SF812/2020	Guangdong	Guangdong	EPI_ISL_428475	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
UnitedArabEmirates/L6599/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435138	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
India/GMC-RK100/2020	Telangana	Telangana	EPI_ISL_431101	Department of Microbiology,Gandhi Medical College and Hospital	Asia	Asia	Virus Research Laboratory, Department of Zoology, Osmania University,Hyderabad,India	Muttineni Radhakrishna et al A (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)
Australia/QLDID922/2020	Oceania	Oceania	EPI_ISL_418799	Mater Pathology	Oceania	Oceania	Public Health Virology Laboratory	Bixing Huang et al
Guangzhou/20SF206/2020	Guangdong	Guangdong	EPI_ISL_406533	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health	Asia	Asia	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al A
Guangdong/GD2020246-P0028/2020	Guangdong	Guangdong	EPI_ISL_413864	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Shanghai/SH0055/2020	Shanghai	Shanghai	EPI_ISL_416363	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0051/2020	Shanghai	Shanghai	EPI_ISL_416359	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
China/Shaoxing-05/2020	Zhejiang	Zhejiang	EPI_ISL_463897	Shaoxing Center for Disease Control and Prevention	Asia	Asia	Department of Pathology and Laboratory Medicine, University of California Los Angeles	Jinkun Chen et al
Wuhan/HB-WH1-138/2020	Hubei	Hubei	EPI_ISL_454915	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Hangzhou/ZJU-09/2020	Zhejiang	Zhejiang	EPI_ISL_416474	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Asia	Asia	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
Hangzhou/ZJU-011/2020	Zhejiang	Zhejiang	EPI_ISL_418991	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Asia	Asia	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
Wuhan/WHU01/2020	Hubei	Hubei	EPI_ISL_406716		Asia	Asia	State Key Laboratory of Virology, Wuhan University	Chen et al (http://biorxiv.org/lookup/doi/10.1101/2020.03.27.009480)
Wuhan/WHU02/2020	Hubei	Hubei	EPI_ISL_406717		Asia	Asia	State Key Laboratory of Virology, Wuhan University	Chen et al (http://biorxiv.org/lookup/doi/10.1101/2020.03.27.009480)
Thailand/SI200040-NT/2020	Thailand	Thailand	EPI_ISL_437623		Asia	Asia	Faculty of Medicine	Rodpan et al
Thailand/61/2020	Nonthaburi	Hubei	EPI_ISL_403962	Bamrasnaradura Hospital	Asia	Asia	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097)
Yingtan/JX2480/2020	Jiangxi	Jiangxi	EPI_ISL_455466	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Shanghai/SH0027/2020	Shanghai	Shanghai	EPI_ISL_416336	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Hangzhou/ZJU-010/2020	Zhejiang	Zhejiang	EPI_ISL_418990	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Asia	Asia	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
Shanghai/SH0067/2020	Shanghai	Shanghai	EPI_ISL_416370	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0076/2020	Shanghai	Shanghai	EPI_ISL_416379	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Beijing/Wuhan_IME-BJ05/2020	Beijing	Beijing	EPI_ISL_424359		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
Sichuan/SC-PHCC1-031/2020	Sichuan	Sichuan	EPI_ISL_451352	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangdong/20SF262/2020	Guangdong	Guangdong	EPI_ISL_428459	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Harbin/HRB-26/2020	Heilongjiang	Heilongjiang	EPI_ISL_459909	Zoonotic and Exotic infection Diseases Division, Harbin Veterinary Research Institute, CAAS	Asia	Asia	Zoonotic and Exotic infection Diseases Division, Harbin Veterinary Research Institute, CAAS	Zhigao Bu et al
Taiwan/NTU02/2020	Taiwan	Hubei	EPI_ISL_410218	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	Asia	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al B (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Malaysia/IMR_WC1114/2020	Selangor	Selangor	EPI_ISL_455793	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Asia	Asia	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Taiwan/NTU07/2020	Taiwan	Japan	EPI_ISL_422410	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	Asia	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
Sichuan/SC-NC-077/2020	Sichuan	Sichuan	EPI_ISL_451336	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Singapore/13/2020	Singapore	Singapore	EPI_ISL_414379	National Centre for Infectious Diseases	Asia	Asia	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
Taiwan/CGMH-CGU-02/2020	Taiwan	Taiwan	EPI_ISL_417518	Laboratory Medicine	Asia	Asia	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Singapore/18/2020	Singapore	Singapore	EPI_ISL_418999	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/16/2020	Singapore	Singapore	EPI_ISL_418997	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/188/2020	Singapore	Singapore	EPI_ISL_462306	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/21/2020	Singapore	Singapore	EPI_ISL_419000	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/14Clin/2020	Singapore	Singapore	EPI_ISL_418998	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/43/2020	Singapore	Singapore	EPI_ISL_428822	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/315/2020	Singapore	Singapore	EPI_ISL_462433	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/22/2020	Singapore	Singapore	EPI_ISL_420099	National Centre for Infectious Diseases	Asia	Asia	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al B
Spain/Andalucia201373/2020	Europe	Europe	EPI_ISL_418244	HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES	Europe	Europe	Instituto de Salud Carlos III	Iglesias-Caballero et al
Chongqing/ZX01/2020	Chongqing	Chongqing	EPI_ISL_408479	Zhongxian Center for Disease Control and Prevention	Asia	Asia	Chongqing Municipal Center for Disease Control and Prevention	Ye Sheng et al
Japan/OS-20-07-1/2020	Osaka	Hubei	EPI_ISL_410532	Dept. of Pathology, National Institute of Infectious Diseases	Asia	Asia	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Hangzhou/HZCDC0162/2020	Zhejiang	Zhejiang	EPI_ISL_421224	Hangzhou Center for Diseases Control and Prevention	Asia	Asia	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
Hangzhou/HZ162/2020	Zhejiang	Zhejiang	EPI_ISL_418508	Hangzhou Center for Disease Control and Prevention	Asia	Asia	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Singapore/35/2020	Singapore	Singapore	EPI_ISL_422428	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
France/RA739/2020	Europe	Europe	EPI_ISL_410486	CNR Virus des Infections Respiratoires - France SUD	Europe	Europe	CNR Virus des Infections Respiratoires - France SUD	Bal et al (https://dx.doi.org/10.1016/j.cmi.2020.03.020)
Finland/1/2020	Europe	Asia	EPI_ISL_407079	Lapland Central Hospital	Europe	Asia	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
